id,nombre,tematica,tipo_estructura,total_piezas,num_figuras,filas,columnas
RC001,My Best Puzzle - Animales del Bosque,Animales del bosque,grid,24,1,4,6
RC002,Dinosaurios Prehistóricos,Dinosaurios,grid,24,1,4,6
RC003,Espacio y Planetas,Espacio,grid,24,1,4,6
RC004,Vehículos Divertidos,Vehículos,grid,24,1,4,6
RC005,3 Zorros de Madera,Zorros,figura_libre,6,3,,
RC006,Pterodáctilo Numerado,Dinosaurio,secuencial_numerado,10,1,,
RC007,"Ciclo: Oruga, Hoja y Mariposa",Metamorfosis,mixto_numerado,14,3,,
RC008,Ciclo de vida del Pato,Ciclo de vida del pato,mixto_numerado,13,3,,
